Español;Aymara
A la feria;Qhatu ru
A las 07:00 de la mañana nos encontraremos hermana Maria;Päqallqu alwa pacha w jikisiñani ku llaka Maria
A las 8 :00 de la mañana hemos jugado;Kimsa kallqu alwa ruw anattanxa
A mi mamá le gusta el pescado;Mamajax challwa muni ri
A mi me duele la cabeza;Nayarux p’iqiw usutu
A mi me duele la espalda;Nayarux jikhaniw usutu
A mi me gusta el chairo;Chayru
A mi p oquito no más me vas a invitar;Nayar juk’pachak i waxt’itäta
A mí auméntame;Nayar u liwxatita
A mí me duele mi cabeza;Nayarux p’iqiw usutu
A mí no me duele nada;Nayar janiw ku nas uskituti
A propósito;amanu
A veces;urasa
abajo;aynacha
Abalear;apiraña
Abanderado;wiphalayiri
Abandonar;asamukuña
Abandonar;itumukuña
Abandonar;jaytjaña
Abandonar un animal a su cría intencionalmente;jiwuraña
Abandono;jaytjaña
Abanicar;phust’aña
Abanico;wayriri
Abaratar;iraqaña
Abarca;jiskhu
Abarca;wiskhu
Abarcar;Katthapiña
Abarrote;juyra
Abarrote;Juyra qhathu
Abastecer;jikt’aña
Abasto;Qhathu
Abatir;liwiqaña
Abdomen;puraka
abdomen o vientre;puraka
Abecedario;Qillqanaka
abeja;mamuraya
Abeja;tamuraya
Abeja;pupa
Abejorro;wayrunqu
Aberración;chhaqhtaña
Abertura;Q’ansa
Abertura en una punta de la honda;uqhaña
Abierto;jist’arata
abierto;jist’arwata
Abigarrado;Ch’ixi
Abigeato;Uywa lunthataña
Abigeato;uywà
Abigotado;Sunkharara
Abismo;Manqha pacha
Ablandar;Quñachaña
Ablandarse;quñaptaña
Abobar;Ipiptayaña
Abocar;achthapiña
Abochornado;p’inqasiyata
Abochornar;p’inqachaña
Abofetear;t’axlliña
Abogado;Arxatiri
Abogar;Arxataña
Abolir;Chhaqhtayaña
Abollar;q’upantaña
Abollar;llinq’intaña
Abominable;Axtaña
Abonar;wanuña
abono;wanu
Aborigen;uraqini
Aborrecer;Uñisiña
Aborrecible;uñiskaya
Aborrecido;Uñisita
Abortar;sulluña
Abortivo;sulluyiri
Aborto;Sulluña
Abotonar;t’irthapiña
Abra;q’asa
Abra;willk’i
Abrasador;nakhantkiri
Abrasar;lapakiña
Abrazar;qhumaña
Abrazarse;qhumasiña
Abrazo;qhumanta
Abrevadero;uywa
Abrevadero;Uywa umaña
Abrevar;umayaña
Abreviar;Jisk’aptayaña
Abridor;jist’araña
Abrigado;isintata
Abrigar;isthapiyaña
Abrigo;Thuru isi
Abrigo;thuru
Abril;qasiwi
Abrillantar;llijtayaña
abrir;jist’araña
abrir;jist’aqaña
Abrir;Jist’arañ a
Abrir boquete en una superficie con un golpe;t’uxjaña
Abrir la tierra con arado de mano para poner la semilla;qhuwachaña
Abrir surcos;wachuraña
Abriremos la puerta;Punk u jist’arañani
Abrirse el surco o camellón de la papa u oca por el fruto que crece adentro;p’ajaña
Abrumar;Aynacht’ayaña
Absceso;q’iri
Absceso;ch’upu
Abseso en el pie;itayu
Absolver;p’ampachaña
Absorber;juchhaña
Abstracto;jan
Abstracto;Jan qhana
Absurdo;jan
Absurdo;Jan wakiskiri
Abuchear;uxuña
abuela;awicha
abuela;mama
Abuelo;achila
abuelo;achachila
abuelo;tata
Abultado;Thuru
Abundancia;utjirini
Abundante;walt’ata
Aburrido;Q’ayma
Aburrido;Amita
Aburrir;qarjayaña
Abusar;Uñisiña
Abusivo;Uñisiri
Acabado;tukuta
Acabar;tukuña
Acaecer;inkiña
Acalambrarse;sijsiqaña
Acallar;amuchaña
Acallar;Amukt’ayaña
Acampar;purintaña
Acantilado;Jaqhi
Acaparador;Khurkhu
Acariciar;Munaraña
Acariciar los animales mamíferos a sus similares raspando con los dientes;jatuña
Acarrear;Jastaña
Acatar;Iyaw saña
Acatarrarse;Rumarisu katuña
Acatarrarse;rumarisu
Acaudalado;Qamiri
Acaudillar;p’iqt’aña
Acceder;Iyaw saña
Accesible;jak’kaya
Accidentado;q’inqu
Accidentado;Q’inqu uraqi
Accidente;chiji
Acción;lurawi
Acción de derramar la paja o la cebada esparciéndola en el suelo;yuyuña
Acechar;Uñch’ukiña
Acecinar;Ch’arkhiña
Aceite;llujllu
Acelerado;Qhathami
Acelerar;ilaña
Aceptable;iyawskaya
Aceptar;iyaw
Aceptar;Iyawa saña
Aceptar lo que a uno le dan u ofrezcan;katuqaña
acequia;larqa
acequia;qhich’a
acequia;qarpa
Acerbo;K’allk’u
Acercar;jak’achayaña
Acercarse a;jak’aña
Acertar;chiqt’aña
Acertijo;Jamusiña
Acezar;Samaqiña
Achatar;t’alpht’aña
Achacar;Tumpaña
Achatado;t’alpht’ata
Achatar;T’alpht’aña
Achicar;jisk’arayaña
Achicoria;chanquruma
Achojcha;achuxcha
Aciago;Qhinchha
Acicalar;K’achachaña
Aclarar;qhananchaña
Aclarar;Qhanatataña
Aclararse el día antes de la salida del sol;urjtaña
Aclimatar;jichuntayaña
Aclocar;t’uquña
Acobardar;Axsarayaña
Acobardarse de algún dolor físico;jiwtaña
Acoger;Katuqaña
Acollar;laq’achkataña
Acollar;qawkataña
Acometer;jalxataña
Acomodado;Walja qullqini
Acomodar en su lugar los huesos dislocados;qhaqhantaña
Acompañante;chinta
Acompañar;Irpaña
Acompañar;chikachaña
Acondicionar;wakthapiyaña
Acongojar;llakiyaña
Aconsejar;amuyt’ayaña
Acopiar;pallthapiña
Acopiar;apthapiña
Acopio;apthapi
Acopio de productos del suelo;pallthapi
Acoplar;achthapiyaña
Acoplar;q’iwkataña
acordar;amtaña
Acordarse;amtasiña
Acorralar;Anantaña
Acortar;Jisk’aptayaña
Acosar;arknaqaña
Acostar;ikintayaña
Acostarse;jaqust’aña
acostumbrado;jichu
